$Culture,$Criticality,$Criticality Modifier,$Initial Known,$Inter-Dependency,$Dynamism,$Size,$Plan,$Team Size,<$Cost,<$Score,<$Idle
0.20747,1.02263,8.61858,0.59501,46.75704,49.3422,2.92806,0.0507,41.1945,1348.56696155,9999999999.38,0.0
0.30642,0.83863,2.61632,0.62468,57.28178,38.64127,2.87958,4.76429,23.52219,269.239452964,9999999999.37,0.0165289256198
0.42804,0.9824,5.08235,0.47196,65.29851,40.90686,2.62075,1.0244,19.91437,696.762921853,9999999999.37,0.136363636364
0.43419,0.88164,8.38201,0.57509,53.10426,19.32555,1.82777,0.45339,27.48916,609.145952404,9999999999.37,0.0602409638554
0.7112,1.16064,8.28438,0.56492,95.02094,32.58157,1.68265,3.17618,28.31086,1220.56960196,9999999999.54,0.122448979592
0.19358,1.14403,3.15897,0.46454,73.82446,32.49356,2.58926,4.04081,24.88662,531.165071269,9999999999.32,0.27950310559
0.38184,0.85043,3.0607,0.58971,3.21566,24.94723,1.28901,0.65145,1.90283,248.519207666,9999999999.27,0.0625
0.13443,0.85141,2.8581,0.56667,57.1457,36.06557,2.38641,3.22295,33.7215,385.939745949,9999999999.29,0.0
0.27153,1.1954,8.25851,0.52351,65.39509,49.24986,2.39028,4.64081,10.01641,1357.69086304,9999999999.44,0.0294117647059
0.45953,0.9313,7.56802,0.43442,79.47093,1.13912,2.10644,1.22865,8.99847,716.919828032,9999999999.04,0.264705882353
0.28282,1.11992,8.16877,0.61643,10.15308,23.51445,1.84189,2.52195,39.10136,1330.81026813,9999999999.22,0.0
0.61634,1.0101,6.68846,0.51442,83.56526,16.74314,1.45574,0.81372,2.12167,496.888567587,9999999999.44,0.5
0.47909,1.17994,2.82768,0.46897,40.51926,20.1571,3.55332,4.39741,38.82819,678.208286932,9999999999.37,0.0917874396135
0.84184,1.14348,4.10508,0.41582,67.59979,18.12561,0.74197,1.02407,15.11572,347.261490032,9999999999.44,0.5
0.87899,0.95271,5.26711,0.69566,91.08416,11.25151,0.76545,1.08724,9.93875,401.411005552,9999999999.32,0.230769230769
0.63394,1.05009,2.94826,0.48641,79.84639,13.95111,3.97648,1.79381,14.61488,469.585190933,9999999999.33,0.216535433071
0.88827,1.18565,5.13095,0.43516,18.90408,22.09452,3.59358,3.86405,26.26275,1237.53934068,9999999999.47,0.17130620985
0.707,0.97201,3.19296,0.48071,92.42587,19.20108,2.65067,3.74846,38.07345,439.631798398,9999999999.47,0.393822393822
0.79389,1.13701,4.14436,0.67705,30.14534,32.35477,0.20097,1.88708,3.25382,233.546986221,9999999999.25,0.25
